property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
can have a kidney shape,a bean,'',Can a bean have a kidney shape?,Yes,random,-3.490244150161743,-3.617393970489502,-8.30986499786377,-6.029493808746338,4.819620847702026,2.412099838256836,Yes,True
can have a label,butter,'',Can butter have a label?,No,random,-3.4038543701171875,-5.032749652862549,-8.30986499786377,-6.029493808746338,4.906010627746582,0.9967441558837891,Yes,False
can have a large surface area,a yacht,'',Can a yacht have a large surface area?,No,random,-3.663867712020874,-5.1744160652160645,-8.30986499786377,-6.029493808746338,4.6459972858428955,0.8550777435302734,Yes,False
can have a lever,pliers,'',Can pliers have a lever?,Yes,random,-3.98749041557312,-4.365243911743164,-8.30986499786377,-6.029493808746338,4.322374582290649,1.6642498970031738,Yes,True
can have a lever,a clam,'',Can a clam have a lever?,No,random,-3.9803595542907715,-2.9816136360168457,-8.30986499786377,-6.029493808746338,4.329505443572998,3.047880172729492,Yes,False
can have a lid,a basket,'',Can a basket have a lid?,Yes,random,-3.030590295791626,-4.020540237426758,-8.30986499786377,-6.029493808746338,5.2792747020721436,2.00895357131958,Yes,True
can have a minibar,a limousine,'',Can a limousine have a minibar?,Yes,random,-2.9043219089508057,-4.91842794418335,-8.30986499786377,-6.029493808746338,5.405543088912964,1.1110658645629883,Yes,True
can have a motor,a tongue,'',Can a tongue have a motor?,No,random,-3.2459216117858887,-4.122195243835449,-8.30986499786377,-6.029493808746338,5.063943386077881,1.9072985649108887,Yes,False
can have a rough texture,grapefruit,'',Can grapefruit have a rough texture?,Yes,random,-3.738250970840454,-4.748622894287109,-8.30986499786377,-6.029493808746338,4.571614027023315,1.2808709144592285,Yes,True
can have a rubber band,a catapult,'',Can a catapult have a rubber band?,Yes,random,-4.149458408355713,-4.157749652862549,-8.30986499786377,-6.029493808746338,4.160406589508057,1.871744155883789,Yes,True
can have a smooth texture,an elm tree,'',Can an elm tree have a smooth texture?,No,random,-3.4818501472473145,-3.98749041557312,-8.30986499786377,-6.029493808746338,4.828014850616455,2.0420033931732178,Yes,False
can have a tap for warm and cold water,a trout,'',Can a trout have a tap for warm and cold water?,No,random,-4.376499652862549,-4.38633394241333,-8.30986499786377,-6.029493808746338,3.9333653450012207,1.6431598663330078,Yes,False
can have a triangular shape,a sandwich,'',Can a sandwich have a triangular shape?,Yes,random,-3.275503158569336,-3.6527605056762695,-8.30986499786377,-6.029493808746338,5.034361839294434,2.3767333030700684,Yes,True
can have a visor,a helmet,'',Can a helmet have a visor?,Yes,random,-3.7326626777648926,-4.613250732421875,-8.30986499786377,-6.029493808746338,4.577202320098877,1.416243076324463,Yes,True
can have a wooden handle,a spatula,'',Can a spatula have a wooden handle?,Yes,random,-3.4264161586761475,-4.291958332061768,-8.30986499786377,-6.029493808746338,4.883448839187622,1.7375354766845703,Yes,True
can have a wooden handle,a cockroach,'',Can a cockroach have a wooden handle?,No,random,-3.943216323852539,-3.572103261947632,-8.30986499786377,-6.029493808746338,4.3666486740112305,2.457390546798706,Yes,False
can have cabins,a houseboat,'',Can a houseboat have cabins?,Yes,random,-3.1698248386383057,-5.060572147369385,-8.30986499786377,-6.029493808746338,5.140040159225464,0.9689216613769531,Yes,True
can have candles,a cat,'',Can a cat have candles?,No,random,-3.6851043701171875,-4.317449569702148,-8.30986499786377,-6.029493808746338,4.624760627746582,1.7120442390441895,Yes,False
can have decorations,a desk,'',Can a desk have decorations?,No,random,-2.753213405609131,-4.26133394241333,-8.30986499786377,-6.029493808746338,5.556651592254639,1.7681598663330078,Yes,False
can have engravings on it,a cookie,'',Can a cookie have engravings on it?,Yes,random,-3.5107080936431885,-3.893345832824707,-8.30986499786377,-6.029493808746338,4.799156904220581,2.136147975921631,Yes,True
can have engravings on it,a moped,'',Can a moped have engravings on it?,No,random,-4.305708408355713,-4.568248748779297,-8.30986499786377,-6.029493808746338,4.004156589508057,1.461245059967041,Yes,False
can have flat or curved leaves,parsley,'',Can parsley have flat or curved leaves?,Yes,random,-4.207000732421875,-5.845249652862549,-8.30986499786377,-6.029493808746338,4.1028642654418945,0.18424415588378906,Yes,True
can have fruity bits in it,a mussel,'',Can a mussel have fruity bits in it?,No,random,-4.025850296020508,-4.2779717445373535,-8.30986499786377,-6.029493808746338,4.284014701843262,1.7515220642089844,Yes,False
can have hexagonal heads,a chopping board,'',Can a chopping board have hexagonal heads?,No,random,-4.104458332061768,-4.110836505889893,-8.30986499786377,-6.029493808746338,4.205406665802002,1.9186573028564453,Yes,False
can have lice,hair,'',Can hair have lice?,Yes,random,-3.0857677459716797,-4.82383394241333,-8.30986499786377,-6.029493808746338,5.22409725189209,1.2056598663330078,Yes,True
can have long sleeves,a colander,'',Can a colander have long sleeves?,No,random,-4.549990653991699,-4.301452159881592,-8.30986499786377,-6.029493808746338,3.7598743438720703,1.728041648864746,Yes,False
can have multiple taps,a bathtub,'',Can a bathtub have multiple taps?,Yes,random,-3.0912911891937256,-4.701412677764893,-8.30986499786377,-6.029493808746338,5.218573808670044,1.3280811309814453,Yes,True
can have multiple taps,a toe,'',Can a toe have multiple taps?,No,random,-2.972058057785034,-3.60188627243042,-8.30986499786377,-6.029493808746338,5.337806940078735,2.427607536315918,Yes,False
can have one hump,a camel,'',Can a camel have one hump?,Yes,random,-3.3172476291656494,-3.4463043212890625,-8.30986499786377,-6.029493808746338,4.99261736869812,2.5831894874572754,Yes,True
can have rooms,a caravan,'',Can a caravan have rooms?,Yes,random,-3.527275800704956,-4.71229362487793,-8.30986499786377,-6.029493808746338,4.7825891971588135,1.3172001838684082,Yes,True
can have rough edges,a tweezer,'',Can a tweezer have rough edges?,Yes,random,-4.086958408355713,-4.595249652862549,-8.30986499786377,-6.029493808746338,4.222906589508057,1.434244155883789,Yes,True
can have rough edges,a dinghy,'',Can a dinghy have rough edges?,No,random,-3.5984976291656494,-4.458040237426758,-8.30986499786377,-6.029493808746338,4.71136736869812,1.57145357131958,Yes,False
can have sharp blades,a sword,'',Can a sword have sharp blades?,Yes,random,-3.5876338481903076,-3.7145423889160156,-8.30986499786377,-6.029493808746338,4.722231149673462,2.3149514198303223,Yes,True
can have short sleeves,a wetsuit,'',Can a wetsuit have short sleeves?,Yes,random,-3.5560433864593506,-4.692310333251953,-8.30986499786377,-6.029493808746338,4.753821611404419,1.3371834754943848,Yes,True
can have short sleeves,a pony,'',Can a pony have short sleeves?,No,random,-3.9111998081207275,-4.289254665374756,-8.30986499786377,-6.029493808746338,4.398665189743042,1.740239143371582,Yes,False
can have six wheels,a coach,'',Can a coach have six wheels?,Yes,random,-3.4913854598999023,-3.4932847023010254,-8.30986499786377,-6.029493808746338,4.818479537963867,2.5362091064453125,Yes,True
can have split ends,hair,'',Can hair have split ends?,Yes,random,-4.107662677764893,-5.7369160652160645,-8.30986499786377,-6.029493808746338,4.202202320098877,0.29257774353027344,Yes,True
can have striped patterns,a chainsaw,'',Can a chainsaw have striped patterns?,No,random,-3.483961582183838,-4.476367950439453,-8.30986499786377,-6.029493808746338,4.825903415679932,1.5531258583068848,Yes,False
can have two decks,a bus,'',Can a bus have two decks?,Yes,random,-3.517089366912842,-4.8130693435668945,-8.30986499786377,-6.029493808746338,4.792775630950928,1.2164244651794434,Yes,True
can have two decks,a chair,'',Can a chair have two decks?,No,random,-3.9214658737182617,-4.048336505889893,-8.30986499786377,-6.029493808746338,4.388399124145508,1.9811573028564453,Yes,False
can have white petals,a lily,'',Can a lily have white petals?,Yes,random,-3.7277634143829346,-3.3548262119293213,-8.30986499786377,-6.029493808746338,4.582101583480835,2.6746675968170166,Yes,True
can have wire mesh,butter,'',Can butter have wire mesh?,No,random,-4.000532150268555,-4.882617950439453,-8.30986499786377,-6.029493808746338,4.309332847595215,1.1468758583068848,Yes,False
can heat water,a lamp,'',Can a lamp heat water?,No,random,-3.192028522491455,-4.095249652862549,-8.30986499786377,-6.029493808746338,5.1178364753723145,1.934244155883789,Yes,False
can help organize schedules,a clock,'',Can a clock help organize schedules?,Yes,random,-2.7027158737182617,-4.211822032928467,-8.30986499786377,-6.029493808746338,5.607149124145508,1.817671775817871,Yes,True
can hibernate,a bear,'',Can a bear hibernate?,Yes,random,-3.2861998081207275,-4.5443501472473145,-8.30986499786377,-6.029493808746338,5.023665189743042,1.4851436614990234,Yes,True
can hit people,an accordion,'',Can an accordion hit people?,No,random,-4.220249652862549,-4.973699569702148,-8.30986499786377,-6.029493808746338,4.089615345001221,1.0557942390441895,Yes,False
can hold books,a bookcase,'',Can a bookcase hold books?,Yes,random,-2.4663543701171875,-4.354458332061768,-8.30986499786377,-6.029493808746338,5.843510627746582,1.6750354766845703,Yes,True
can hold drinks,a porcupine,'',Can a porcupine hold drinks?,No,random,-3.744762897491455,-4.110836505889893,-8.30986499786377,-6.029493808746338,4.5651021003723145,1.9186573028564453,Yes,False
can hold fruit,a platypus,'',Can a platypus hold fruit?,No,random,-3.427227258682251,-3.8078982830047607,-8.30986499786377,-6.029493808746338,4.8826377391815186,2.221595525741577,Yes,False
can hold sand,a bucket,'',Can a bucket hold sand?,Yes,random,-3.3726043701171875,-4.629126071929932,-8.30986499786377,-6.029493808746338,4.937260627746582,1.4003677368164062,Yes,True
can hold sand,an axe,'',Can an axe hold sand?,No,random,-4.180784702301025,-3.3084216117858887,-8.30986499786377,-6.029493808746338,4.129080295562744,2.721072196960449,Yes,False
can hold things in place,a clamp,'',Can a clamp hold things in place?,Yes,random,-2.936840295791626,-4.052743911743164,-8.30986499786377,-6.029493808746338,5.3730247020721436,1.9767498970031738,Yes,True
can hold things together,a bagpipe,'',Can a bagpipe hold things together?,No,random,-3.8417601585388184,-4.59220027923584,-8.30986499786377,-6.029493808746338,4.468104839324951,1.437293529510498,Yes,False
can hop,a grasshopper,'',Can a grasshopper hop?,Yes,random,-2.661966323852539,-3.7898385524749756,-8.30986499786377,-6.029493808746338,5.6478986740112305,2.2396552562713623,Yes,True
can house birds,a brussels sprout,'',Can a brussels sprout house birds?,No,random,-3.351367712020874,-3.738250970840454,-8.30986499786377,-6.029493808746338,4.9584972858428955,2.291242837905884,Yes,False
can hurt,a hedgehog,'',Can a hedgehog hurt?,No,random,-3.470249652862549,-5.220249652862549,-8.30986499786377,-6.029493808746338,4.839615345001221,0.8092441558837891,Yes,False
can hurt people,a sandwich,'',Can a sandwich hurt people?,No,random,-3.2529196739196777,-4.488952159881592,-8.30986499786377,-6.029493808746338,5.056945323944092,1.540541648864746,Yes,False
can hydrate the body,an ant,'',Can an ant hydrate the body?,No,random,-3.691904306411743,-3.195399522781372,-8.30986499786377,-6.029493808746338,4.617960691452026,2.834094285964966,Yes,False
can improve eyesight,a gerbil,'',Can a gerbil improve eyesight?,No,random,-3.7014126777648926,-4.582000732421875,-8.30986499786377,-6.029493808746338,4.608452320098877,1.447493076324463,Yes,False
can infect pets,a harpsichord,'',Can a harpsichord infect pets?,No,random,-4.076412677764893,-4.0913543701171875,-8.30986499786377,-6.029493808746338,4.233452320098877,1.9381394386291504,Yes,False
can join things,a tuna,'',Can a tuna join things?,No,random,-4.584863185882568,-4.4626336097717285,-8.30986499786377,-6.029493808746338,3.725001811981201,1.5668601989746094,Yes,False
can jump out of the water,a dolphin,'',Can a dolphin jump out of the water?,Yes,random,-3.1177358627319336,-3.7512402534484863,-8.30986499786377,-6.029493808746338,5.192129135131836,2.2782535552978516,Yes,True
can keep the ears warm,earmuffs,'',Can earmuffs keep the ears warm?,Yes,random,-3.5383756160736084,-4.788867950439453,-8.30986499786377,-6.029493808746338,4.771489381790161,1.2406258583068848,Yes,True
can keep the head warm,a tongue,'',Can a tongue keep the head warm?,No,random,-5.2318501472473145,-3.73749041557312,-8.30986499786377,-6.029493808746338,3.078014850616455,2.2920033931732178,Yes,False
can kill,strawberry,'',Can strawberry kill?,No,random,-4.166958332061768,-5.414254665374756,-8.30986499786377,-6.029493808746338,4.142906665802002,0.615239143371582,Yes,False
can kill people,a sword,'',Can a sword kill people?,Yes,random,-2.9152634143829346,-3.916722059249878,-8.30986499786377,-6.029493808746338,5.394601583480835,2.11277174949646,Yes,True
can last a long time,jam,'',Can jam last a long time?,Yes,random,-4.8850626945495605,-4.7666401863098145,-8.30986499786377,-6.029493808746338,3.424802303314209,1.2628536224365234,Yes,True
can live long,a turtle,'',Can a turtle live long?,Yes,random,-4.524458408355713,-5.039254665374756,-8.30986499786377,-6.029493808746338,3.7854065895080566,0.990239143371582,Yes,True
can live long,a parakeet,'',Can a parakeet live long?,No,random,-4.607662677764893,-6.4869160652160645,-8.30986499786377,-6.029493808746338,3.702202320098877,-0.45742225646972656,Yes,False
can live near the water,a swan,'',Can a swan live near the water?,Yes,random,-3.160654306411743,-3.663905382156372,-8.30986499786377,-6.029493808746338,5.149210691452026,2.365588426589966,Yes,True
can maim,a crossbow,'',Can a crossbow maim?,Yes,random,-2.935997724533081,-4.186588764190674,-8.30986499786377,-6.029493808746338,5.3738672733306885,1.842905044555664,Yes,True
can make a clucking noise,a turkey,'',Can a turkey make a clucking noise?,Yes,random,-3.1299498081207275,-4.262529373168945,-8.30986499786377,-6.029493808746338,5.179915189743042,1.7669644355773926,Yes,True
can make a crashing sound,a speedboat,'',Can a speedboat make a crashing sound?,No,random,-3.3232080936431885,-4.328205108642578,-8.30986499786377,-6.029493808746338,4.986656904220581,1.7012887001037598,Yes,False
can make a honking noise,potato,'',Can potato make a honking noise?,No,random,-3.951242446899414,-4.345249652862549,-8.30986499786377,-6.029493808746338,4.3586225509643555,1.684244155883789,Yes,False
can make a hooting sound,an owl,'',Can an owl make a hooting sound?,Yes,random,-3.1451661586761475,-3.903441905975342,-8.30986499786377,-6.029493808746338,5.164698839187622,2.126051902770996,Yes,True
can make a hooting sound,a moose,'',Can a moose make a hooting sound?,No,random,-3.1560873985290527,-4.048336505889893,-8.30986499786377,-6.029493808746338,5.153777599334717,1.9811573028564453,Yes,False
can make a loud noise,a cymbal,'',Can a cymbal make a loud noise?,Yes,random,-2.976754665374756,-4.1056904792785645,-8.30986499786377,-6.029493808746338,5.333110332489014,1.9238033294677734,Yes,True
can make a twangy sound,a harpsichord,'',Can a harpsichord make a twangy sound?,Yes,random,-3.867820978164673,-4.6538543701171875,-8.30986499786377,-6.029493808746338,4.442044019699097,1.3756394386291504,Yes,True
can make butter,milk,'',Can milk make butter?,Yes,random,-3.993208646774292,-4.8755693435668945,-8.30986499786377,-6.029493808746338,4.3166563510894775,1.1539244651794434,Yes,True
can make coffee,a coffee maker,'',Can a coffee maker make coffee?,Yes,random,-2.5545177459716797,-3.559691905975342,-8.30986499786377,-6.029493808746338,5.75534725189209,2.469801902770996,Yes,True
can make coffee,leek,'',Can leek make coffee?,No,random,-3.726754665374756,-3.9794580936431885,-8.30986499786377,-6.029493808746338,4.583110332489014,2.0500357151031494,Yes,False
can make honey,a bee,'',Can a bee make honey?,Yes,random,-2.551452159881592,-2.9307847023010254,-8.30986499786377,-6.029493808746338,5.758412837982178,3.0987091064453125,Yes,True
can make loud sounds,a fox,'',Can a fox make loud sounds?,Yes,random,-3.320504665374756,-3.953205108642578,-8.30986499786377,-6.029493808746338,4.989360332489014,2.0762887001037598,Yes,True
can make music,broccoli,'',Can broccoli make music?,No,random,-3.1963043212890625,-3.9478089809417725,-8.30986499786377,-6.029493808746338,5.113560676574707,2.0816848278045654,Yes,False
can make people feel seasick,a shrimp,'',Can a shrimp make people feel seasick?,No,random,-3.7943501472473145,-4.674990653991699,-8.30986499786377,-6.029493808746338,4.515514850616455,1.3545031547546387,Yes,False
can make puree,a blender,'',Can a blender make puree?,Yes,random,-3.3844125270843506,-4.9038543701171875,-8.30986499786377,-6.029493808746338,4.925452470779419,1.1256394386291504,Yes,True
can make raisins,a caterpillar,'',Can a caterpillar make raisins?,No,random,-3.7234976291656494,-2.3527634143829346,-8.30986499786377,-6.029493808746338,4.58636736869812,3.6767303943634033,Yes,False
can make you drunk,whiskey,'',Can whiskey make you drunk?,Yes,random,-3.1764161586761475,-4.414254665374756,-8.30986499786377,-6.029493808746338,5.133448839187622,1.615239143371582,Yes,True
can make you fall,tangerine,'',Can tangerine make you fall?,No,random,-5.9380693435668945,-5.5630693435668945,-8.30986499786377,-6.029493808746338,2.371795654296875,0.46642446517944336,Yes,False
can melt,cheese,'',Can cheese melt?,Yes,random,-3.7027158737182617,-4.333040237426758,-8.30986499786377,-6.029493808746338,4.607149124145508,1.69645357131958,Yes,True
can melt in the mouth,whiskey,'',Can whiskey melt in the mouth?,No,random,-3.5565714836120605,-4.80787992477417,-8.30986499786377,-6.029493808746338,4.753293514251709,1.221613883972168,Yes,False
can melt under heat,ice cream,'',Can ice cream melt under heat?,Yes,random,-3.4769959449768066,-4.220249652862549,-8.30986499786377,-6.029493808746338,4.832869052886963,1.809244155883789,Yes,True
can meow,a cat,'',Can a cat meow?,Yes,random,-2.67499041557312,-3.6788854598999023,-8.30986499786377,-6.029493808746338,5.634874582290649,2.3506083488464355,Yes,True
can meow,a mirror,'',Can a mirror meow?,No,random,-3.830019235610962,-3.9592928886413574,-8.30986499786377,-6.029493808746338,4.479845762252808,2.0702009201049805,Yes,False
can migrate,a bathtub,'',Can a bathtub migrate?,No,random,-3.2861998081207275,-4.289254665374756,-8.30986499786377,-6.029493808746338,5.023665189743042,1.740239143371582,Yes,False
can mix ingredients,a blender,'',Can a blender mix ingredients?,Yes,random,-3.0139126777648926,-4.782749652862549,-8.30986499786377,-6.029493808746338,5.295952320098877,1.246744155883789,Yes,True
can open,a clam,'',Can a clam open?,Yes,random,-3.5483365058898926,-3.6807847023010254,-8.30986499786377,-6.029493808746338,4.761528491973877,2.3487091064453125,Yes,True
can open cans,a can opener,'',Can a can opener open cans?,Yes,random,-3.270977258682251,-3.0239858627319336,-8.30986499786377,-6.029493808746338,5.0388877391815186,3.0055079460144043,Yes,True
can peck,a peacock,'',Can a peacock peck?,Yes,random,-3.024322271347046,-3.402535915374756,-8.30986499786377,-6.029493808746338,5.285542726516724,2.626957893371582,Yes,True
can pierce or impale,a knife,'',Can a knife pierce or impale?,Yes,random,-3.5842928886413574,-3.838350534439087,-8.30986499786377,-6.029493808746338,4.725572109222412,2.191143274307251,Yes,True
can pierce or impale,a rat,'',Can a rat pierce or impale?,No,random,-3.8342928886413574,-3.4642715454101562,-8.30986499786377,-6.029493808746338,4.475572109222412,2.5652222633361816,Yes,False
can play audio,a canary,'',Can a canary play audio?,No,random,-3.4733529090881348,-4.269466876983643,-8.30986499786377,-6.029493808746338,4.836512088775635,1.7600269317626953,Yes,False
can pollinate,a hummingbird,'',Can a hummingbird pollinate?,Yes,random,-3.1851043701171875,-4.69883394241333,-8.30986499786377,-6.029493808746338,5.124760627746582,1.3306598663330078,Yes,True
can pollinate flowers,a bee,'',Can a bee pollinate flowers?,Yes,random,-3.332000970840454,-4.970249652862549,-8.30986499786377,-6.029493808746338,4.977864027023315,1.059244155883789,Yes,True
can pounce,a budgie,'',Can a budgie pounce?,No,random,-3.738250970840454,-4.379126071929932,-8.30986499786377,-6.029493808746338,4.571614027023315,1.6503677368164062,Yes,False
can prance,a horse,'',Can a horse prance?,Yes,random,-3.271494150161743,-4.397899627685547,-8.30986499786377,-6.029493808746338,5.038370847702026,1.631594181060791,Yes,True
can prance,an owl,'',Can an owl prance?,No,random,-3.838676929473877,-3.716031312942505,-8.30986499786377,-6.029493808746338,4.471188068389893,2.313462495803833,Yes,False
can press,a finger,'',Can a finger press?,Yes,random,-3.5889835357666016,-3.4658563137054443,-8.30986499786377,-6.029493808746338,4.720881462097168,2.5636374950408936,Yes,True
can prevent mess,a chipmunk,'',Can a chipmunk prevent mess?,No,random,-3.2358365058898926,-3.2358365058898926,-8.30986499786377,-6.029493808746338,5.074028491973877,2.7936573028564453,Yes,False
can produce cider,pear,'',Can pear produce cider?,Yes,random,-2.899070978164673,-4.3101043701171875,-8.30986499786377,-6.029493808746338,5.410794019699097,1.7193894386291504,Yes,True
can produce cider,an eel,'',Can an eel produce cider?,No,random,-2.932879686355591,-3.4338998794555664,-8.30986499786377,-6.029493808746338,5.376985311508179,2.5955939292907715,Yes,False
can protect against weapons,an armor,'',Can an armor protect against weapons?,Yes,random,-3.9613137245178223,-4.101367950439453,-8.30986499786377,-6.029493808746338,4.348551273345947,1.9281258583068848,Yes,True
can protect from spills,an apron,'',Can an apron protect from spills?,Yes,random,-3.4976043701171875,-4.744357585906982,-8.30986499786377,-6.029493808746338,4.812260627746582,1.2851362228393555,Yes,True
can provide fitness,a bicycle,'',Can a bicycle provide fitness?,Yes,random,-2.251499652862549,-5.508711814880371,-8.30986499786377,-6.029493808746338,6.058365345001221,0.5207819938659668,Yes,True
can provide shade,a pine tree,'',Can a pine tree provide shade?,Yes,random,-2.442028522491455,-3.9469125270843506,-8.30986499786377,-6.029493808746338,5.8678364753723145,2.0825812816619873,Yes,True
can provide shelter,a houseboat,'',Can a houseboat provide shelter?,Yes,random,-2.9457459449768066,-4.443248748779297,-8.30986499786377,-6.029493808746338,5.364119052886963,1.586245059967041,Yes,True
can provide support,a bra,'',Can a bra provide support?,Yes,random,-2.515211582183838,-4.513912677764893,-8.30986499786377,-6.029493808746338,5.794653415679932,1.5155811309814453,Yes,True
can provide water,an elephant,'',Can an elephant provide water?,No,random,-3.48749041557312,-3.365244150161743,-8.30986499786377,-6.029493808746338,4.822374582290649,2.6642496585845947,Yes,False
can pull things,a starling,'',Can a starling pull things?,No,random,-3.207702159881592,-3.588003158569336,-8.30986499786377,-6.029493808746338,5.102162837982178,2.441490650177002,Yes,False
can quack,a duck,'',Can a duck quack?,Yes,random,-2.975625514984131,-3.3527634143829346,-8.30986499786377,-6.029493808746338,5.334239482879639,2.6767303943634033,Yes,True
can regenerate,a wolf,'',Can a wolf regenerate?,No,random,-3.909558057785034,-3.78938627243042,-8.30986499786377,-6.029493808746338,4.400306940078735,2.240107536315918,Yes,False
can reproduce quickly,a bagpipe,'',Can a bagpipe reproduce quickly?,No,random,-3.782749652862549,-4.414254665374756,-8.30986499786377,-6.029493808746338,4.527115345001221,1.615239143371582,Yes,False
can require electricity,a crayfish,'',Can a crayfish require electricity?,No,random,-3.811523199081421,-3.8300790786743164,-8.30986499786377,-6.029493808746338,4.498341798782349,2.1994147300720215,Yes,False
can rip,a box,'',Can a box rip?,No,random,-2.9889161586761475,-4.1068501472473145,-8.30986499786377,-6.029493808746338,5.320948839187622,1.9226436614990234,Yes,False
can roll,a bra,'',Can a bra roll?,No,random,-2.8589658737182617,-3.988952159881592,-8.30986499786377,-6.029493808746338,5.450899124145508,2.040541648864746,Yes,False
can rotate its head,an owl,'',Can an owl rotate its head?,Yes,random,-3.3608365058898926,-3.8682847023010254,-8.30986499786377,-6.029493808746338,4.949028491973877,2.1612091064453125,Yes,True
can rub its wings,a bowl,'',Can a bowl rub its wings?,No,random,-4.7152605056762695,-3.2322237491607666,-8.30986499786377,-6.029493808746338,3.5946044921875,2.7972700595855713,Yes,False
can run,a wheelbarrow,'',Can a wheelbarrow run?,No,random,-3.238952159881592,-3.492393970489502,-8.30986499786377,-6.029493808746338,5.070912837982178,2.537099838256836,Yes,False
can run on nuclear power,cheese,'',Can cheese run on nuclear power?,No,random,-3.618208646774292,-4.251499652862549,-8.30986499786377,-6.029493808746338,4.6916563510894775,1.777994155883789,Yes,False
can save time,a dishwasher,'',Can a dishwasher save time?,Yes,random,-2.1076626777648926,-5.3670244216918945,-8.30986499786377,-6.029493808746338,6.202202320098877,0.6624693870544434,Yes,True
can save time,an oak tree,'',Can an oak tree save time?,No,random,-3.350893497467041,-3.6035380363464355,-8.30986499786377,-6.029493808746338,4.9589715003967285,2.4259557723999023,Yes,False
can scavenge in bins,a raccoon,'',Can a raccoon scavenge in bins?,Yes,random,-3.970249652862549,-5.476754665374756,-8.30986499786377,-6.029493808746338,4.339615345001221,0.552739143371582,Yes,True
can scuttle,a clarinet,'',Can a clarinet scuttle?,No,random,-3.6062464714050293,-3.6066136360168457,-8.30986499786377,-6.029493808746338,4.70361852645874,2.422880172729492,Yes,False
can secure things,a clamp,'',Can a clamp secure things?,Yes,random,-3.0954296588897705,-4.113952159881592,-8.30986499786377,-6.029493808746338,5.214435338973999,1.915541648864746,Yes,True
can see,an eye,'',Can an eye see?,Yes,random,-4.022363185882568,-4.277042388916016,-8.30986499786377,-6.029493808746338,4.287501811981201,1.7524514198303223,Yes,True
can see in the dark,an owl,'',Can an owl see in the dark?,Yes,random,-3.388742446899414,-4.039254665374756,-8.30986499786377,-6.029493808746338,4.9211225509643555,1.990239143371582,Yes,True
can see in the dark,a monkey,'',Can a monkey see in the dark?,No,random,-3.4545865058898926,-3.4603993892669678,-8.30986499786377,-6.029493808746338,4.855278491973877,2.56909441947937,Yes,False
can separate food from water,a hummingbird,'',Can a hummingbird separate food from water?,No,random,-3.684691905975342,-4.671465873718262,-8.30986499786377,-6.029493808746338,4.625173091888428,1.3580279350280762,Yes,False
can serve food on board,a train,'',Can a train serve food on board?,Yes,random,-3.592593193054199,-4.41842794418335,-8.30986499786377,-6.029493808746338,4.71727180480957,1.6110658645629883,Yes,True
can serve food on board,a kayak,'',Can a kayak serve food on board?,No,random,-3.5605719089508057,-4.617563724517822,-8.30986499786377,-6.029493808746338,4.749293088912964,1.4119300842285156,Yes,False
can shine,a lamp,'',Can a lamp shine?,Yes,random,-2.8351354598999023,-3.7139835357666016,-8.30986499786377,-6.029493808746338,5.474729537963867,2.3155102729797363,Yes,True
can shoot spikes,a porcupine,'',Can a porcupine shoot spikes?,Yes,random,-3.583477258682251,-3.9641482830047607,-8.30986499786377,-6.029493808746338,4.7263877391815186,2.065345525741577,Yes,True
can shoot spikes,a ship,'',Can a ship shoot spikes?,No,random,-4.020540237426758,-3.913393497467041,-8.30986499786377,-6.029493808746338,4.289324760437012,2.116100311279297,Yes,False
can sieve,broccoli,'',Can broccoli sieve?,No,random,-4.0166401863098145,-4.5166401863098145,-8.30986499786377,-6.029493808746338,4.293224811553955,1.5128536224365234,Yes,False
can sing,a budgie,'',Can a budgie sing?,Yes,random,-2.969282388687134,-4.126499652862549,-8.30986499786377,-6.029493808746338,5.340582609176636,1.902994155883789,Yes,True
can sing,an ox,'',Can an ox sing?,No,random,-4.121399879455566,-2.6069376468658447,-8.30986499786377,-6.029493808746338,4.188465118408203,3.422556161880493,Yes,False
can skip traffic lights,an ambulance,'',Can an ambulance skip traffic lights?,Yes,random,-4.470249652862549,-5.354458332061768,-8.30986499786377,-6.029493808746338,3.8396153450012207,0.6750354766845703,Yes,True
can slide,a sledge,'',Can a sledge slide?,Yes,random,-3.1163854598999023,-4.37037992477417,-8.30986499786377,-6.029493808746338,5.193479537963867,1.659113883972168,Yes,True
can sniff,a gun,'',Can a gun sniff?,No,random,-4.428885459899902,-4.1815714836120605,-8.30986499786377,-6.029493808746338,3.880979537963867,1.8479223251342773,Yes,False
can spill oil,an oil tanker,'',Can an oil tanker spill oil?,Yes,random,-3.135647773742676,-4.701412677764893,-8.30986499786377,-6.029493808746338,5.174217224121094,1.3280811309814453,Yes,True
can spill oil,a microwave,'',Can a microwave spill oil?,No,random,-3.7258756160736084,-5.086313724517822,-8.30986499786377,-6.029493808746338,4.583989381790161,0.9431800842285156,Yes,False
can spin,a canary,'',Can a canary spin?,No,random,-3.73749041557312,-3.742393970489502,-8.30986499786377,-6.029493808746338,4.572374582290649,2.287099838256836,Yes,False
can spray liquid,a hose,'',Can a hose spray liquid?,Yes,random,-3.382617712020874,-4.269500732421875,-8.30986499786377,-6.029493808746338,4.9272472858428955,1.759993076324463,Yes,True
