property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
can contain pastrami,lime,'',Can lime contain pastrami?,No,random,-3.7941136360168457,-4.65571403503418,Yes,False
can contain photos,a wallet,'',Can a wallet contain photos?,Yes,random,-3.4998373985290527,-5.152535915374756,Yes,True
can contain photos,sweet potato,'',Can sweet potato contain photos?,No,random,-4.345249652862549,-4.737490653991699,Yes,False
can contain rodents,whiskey,'',Can whiskey contain rodents?,No,random,-4.216196060180664,-4.717809677124023,Yes,False
can contain springs,a rocket,'',Can a rocket contain springs?,No,random,-5.617853164672852,-5.246822357177734,No,True
can contain tea,a deckchair,'',Can a deckchair contain tea?,No,random,-3.9048819541931152,-2.4059040546417236,No,True
can cool the body down,a dragonfly,'',Can a dragonfly cool the body down?,No,random,-4.710399627685547,-3.4819376468658447,No,True
can crawl,a coffee maker,'',Can a coffee maker crawl?,No,random,-5.217293739318848,-2.8275973796844482,No,True
can crease,a shawl,'',Can a shawl crease?,Yes,random,-4.150850296020508,-4.779493808746338,Yes,True
can croak,a frog,'',Can a frog croak?,Yes,random,-3.512397289276123,-3.389575958251953,No,False
can crush things,an owl,'',Can an owl crush things?,No,random,-5.238952159881592,-4.7447662353515625,No,True
can curl up,a shrimp,'',Can a shrimp curl up?,Yes,random,-5.24701452255249,-4.624244213104248,No,False
can curl up,a sardine,'',Can a sardine curl up?,No,random,-4.653356075286865,-3.046131134033203,No,True
can cut and chop wood,a chainsaw,'',Can a chainsaw cut and chop wood?,Yes,random,-4.084863185882568,-7.902296543121338,Yes,True
can cut and chop wood,mushroom,'',Can mushroom cut and chop wood?,No,random,-3.7482991218566895,-5.495082378387451,Yes,False
can cut down trees,an axe,'',Can an axe cut down trees?,Yes,random,-3.3570852279663086,-2.6714236736297607,No,False
can cut flesh,a bayonet,'',Can a bayonet cut flesh?,Yes,random,-6.426452159881592,-7.433421611785889,Yes,True
can cut through fabric,scissors,'',Can scissors cut through fabric?,Yes,random,-3.221268892288208,-5.30787992477417,Yes,True
can cut through forrest vegetation,a goose,'',Can a goose cut through forrest vegetation?,No,random,-6.326153755187988,-6.333040237426758,Yes,False
can cut through metal,a saw,'',Can a saw cut through metal?,Yes,random,-4.549990653991699,-7.555784702301025,Yes,True
can cut through metal,a washing machine,'',Can a washing machine cut through metal?,No,random,-4.993690013885498,-5.935571193695068,Yes,False
can cut through paper,champagne,'',Can champagne cut through paper?,No,random,-5.681190013885498,-4.060797691345215,No,True
can damage buildings,a lamb,'',Can a lamb damage buildings?,No,random,-4.521792888641357,-4.529131889343262,Yes,False
can damage crops,a grasshopper,'',Can a grasshopper damage crops?,Yes,random,-3.4932847023010254,-5.995921611785889,Yes,True
can dart around in the air,a truck,'',Can a truck dart around in the air?,No,random,-4.588350296020508,-2.8428666591644287,No,True
can defrost food,an oven,'',Can an oven defrost food?,Yes,random,-5.49537992477417,-3.420091152191162,No,False
can detect light,a bin,'',Can a bin detect light?,No,random,-5.648877143859863,-4.779493808746338,No,True
can detect vibrations,an ear,'',Can an ear detect vibrations?,Yes,random,-4.868284702301025,-4.872815132141113,Yes,True
can die after stinging,a bee,'',Can a bee die after stinging?,Yes,random,-4.1197662353515625,-3.6218223571777344,No,False
can dive underwater,a locust,'',Can a locust dive underwater?,No,random,-4.715856075286865,-2.9683055877685547,No,True
can drain water,a dishwasher,'',Can a dishwasher drain water?,Yes,random,-3.5444376468658447,-5.655309677124023,Yes,True
can drink,jelly,'',Can jelly drink?,No,random,-4.842100143432617,-3.8432769775390625,No,True
can drool,a calf,'',Can a calf drool?,Yes,random,-4.997524261474609,-4.999088764190674,Yes,True
can drown its prey,a crocodile,'',Can a crocodile drown its prey?,Yes,random,-6.901771545410156,-5.528995513916016,No,False
can eat other birds,a shovel,'',Can a shovel eat other birds?,No,random,-5.089796543121338,-2.3584775924682617,No,True
can eat plants,a refrigerator,'',Can a refrigerator eat plants?,No,random,-5.62037992477417,-2.232896089553833,No,True
can eat smaller birds,a pelican,'',Can a pelican eat smaller birds?,Yes,random,-5.3697662353515625,-4.873071193695068,No,False
can entertain,a clam,'',Can a clam entertain?,No,random,-2.8738298416137695,-3.3745694160461426,Yes,False
can fall,a goat,'',Can a goat fall?,No,random,-4.029131889343262,-4.155517578125,Yes,False
can fetch ball,a dog,'',Can a dog fetch ball?,Yes,random,-2.560314893722534,-6.435997486114502,Yes,True
can filter,jam,'',Can jam filter?,No,random,-4.339271545410156,-5.2154717445373535,Yes,False
can filter water,a chopping board,'',Can a chopping board filter water?,No,random,-3.6822662353515625,-2.435797929763794,No,True
can fire arrows,ham,'',Can ham fire arrows?,No,random,-4.247524261474609,-3.858531951904297,No,True
can fire long range,a rifle,'',Can a rifle fire long range?,Yes,random,-6.174990653991699,-6.935315132141113,Yes,True
can flash,a camera,'',Can a camera flash?,Yes,random,-4.74701452255249,-4.249244213104248,No,False
can flash,a hyacinth,'',Can a hyacinth flash?,No,random,-4.686254501342773,-3.562164545059204,No,True
can flatten,a budgie,'',Can a budgie flatten?,No,random,-6.530642509460449,-7.531026363372803,Yes,False
can float in air,a jacket,'',Can a jacket float in air?,No,random,-4.5279717445373535,-3.5145084857940674,No,True
can flutter,an oven,'',Can an oven flutter?,No,random,-5.280115604400635,-3.9057769775390625,No,True
can fly,a unicycle,'',Can a unicycle fly?,No,random,-3.7167601585388184,-3.9672000408172607,Yes,False
can fly backwards,a hummingbird,'',Can a hummingbird fly backwards?,Yes,random,-5.086377143859863,-3.5763959884643555,No,False
can fly backwards,a donut,'',Can a donut fly backwards?,No,random,-4.122195243835449,-2.748674154281616,No,True
can fly fast,a hummingbird,'',Can a hummingbird fly fast?,Yes,random,-3.461822271347046,-6.216196060180664,Yes,True
can fly fast,a parka,'',Can a parka fly fast?,No,random,-4.435024261474609,-2.827404022216797,No,True
can get cold,a mackerel,'',Can a mackerel get cold?,No,random,-5.403169631958008,-4.905115604400635,No,True
can get congested,a bicycle,'',Can a bicycle get congested?,No,random,-3.6394362449645996,-3.6402390003204346,Yes,False
can get full,a bin,'',Can a bin get full?,Yes,random,-3.575610399246216,-4.468061923980713,Yes,True
can get knotted,a catapult,'',Can a catapult get knotted?,No,random,-5.092749118804932,-3.7339510917663574,No,True
can give birth to mules,a throne,'',Can a throne give birth to mules?,No,random,-6.498297691345215,-2.8589510917663574,No,True
can glide,a buzzard,'',Can a buzzard glide?,Yes,random,-4.337240695953369,-4.716993808746338,Yes,True
can glide,a rhino,'',Can a rhino glide?,No,random,-4.902535915374756,-2.4053096771240234,No,True
can go into a shoe,a foot,'',Can a foot go into a shoe?,Yes,random,-4.2479472160339355,-3.0775973796844482,No,False
can go into a sock,a flea,'',Can a flea go into a sock?,No,random,-7.772363185882568,-7.9947662353515625,Yes,False
can go into wall,a nail,'',Can a nail go into wall?,Yes,random,-6.828205108642578,-6.271792888641357,No,False
can go stale,a ladle,'',Can a ladle go stale?,No,random,-4.747524261474609,-3.2494471073150635,No,True
can go through corks,a corkscrew,'',Can a corkscrew go through corks?,Yes,random,-4.082353591918945,-4.5902605056762695,Yes,True
can go through corks,a woodpecker,'',Can a woodpecker go through corks?,No,random,-4.808899879455566,-4.936588764190674,Yes,False
can go without drinking water,an apple,'',Can an apple go without drinking water?,No,random,-4.804893970489502,-2.748297929763794,No,True
can grate,a grater,'',Can a grater grate?,Yes,random,-3.827075958251953,-3.8278050422668457,Yes,True
can grate vegetables,turnip,'',Can turnip grate vegetables?,No,random,-4.238952159881592,-4.245921611785889,Yes,False
can grow,a leg,'',Can a leg grow?,Yes,random,-4.7041401863098145,-4.713983535766602,Yes,True
can growl,whiskey,'',Can whiskey growl?,No,random,-4.027296543121338,-4.779380798339844,Yes,False
can hang from the ceiling,a moped,'',Can a moped hang from the ceiling?,No,random,-3.2783563137054443,-4.65470027923584,Yes,False
can have a baby seat,a trolley,'',Can a trolley have a baby seat?,Yes,random,-4.336377143859863,-6.5904717445373535,Yes,True
can have a basket,a trolley,'',Can a trolley have a basket?,Yes,random,-2.9173262119293213,-5.436400890350342,Yes,True
can have a bell,a trumpet,'',Can a trumpet have a bell?,Yes,random,-4.310315132141113,-3.4212183952331543,No,False
can have a bin bag,a bin,'',Can a bin have a bin bag?,Yes,random,-4.560173988342285,-4.124195575714111,No,False
can have a cork,a spatula,'',Can a spatula have a cork?,No,random,-2.841993808746338,-3.59317946434021,Yes,False
can have a duvet,ham,'',Can ham have a duvet?,No,random,-4.685024261474609,-4.561695575714111,No,True
can have a hammer shaped head,kiwi,'',Can kiwi have a hammer shaped head?,No,random,-5.258711814880371,-3.650503158569336,No,True
can have a headboard,a bed,'',Can a bed have a headboard?,Yes,random,-3.2588043212890625,-4.496822357177734,Yes,True
can have a hot temperature,an oven,'',Can an oven have a hot temperature?,Yes,random,-4.519853591918945,-6.025503158569336,Yes,True
can have a kidney shape,a bean,'',Can a bean have a kidney shape?,Yes,random,-2.8729472160339355,-3.6240296363830566,Yes,True
can have a label,butter,'',Can butter have a label?,No,random,-3.632899522781372,-4.404260158538818,Yes,False
can have a large surface area,a yacht,'',Can a yacht have a large surface area?,No,random,-4.98824405670166,-6.120921611785889,Yes,False
can have a lever,pliers,'',Can pliers have a lever?,Yes,random,-4.382275581359863,-5.521792888641357,Yes,True
can have a lever,a clam,'',Can a clam have a lever?,No,random,-4.1863298416137695,-2.3277390003204346,No,True
can have a lid,a basket,'',Can a basket have a lid?,Yes,random,-3.073432207107544,-5.342293739318848,Yes,True
can have a minibar,a limousine,'',Can a limousine have a minibar?,Yes,random,-2.9947662353515625,-5.497524261474609,Yes,True
can have a motor,a tongue,'',Can a tongue have a motor?,No,random,-4.186173915863037,-3.4215009212493896,No,True
can have a rough texture,grapefruit,'',Can grapefruit have a rough texture?,Yes,random,-4.177743911743164,-4.684117794036865,Yes,True
can have a rubber band,a catapult,'',Can a catapult have a rubber band?,Yes,random,-4.646185874938965,-6.147899627685547,Yes,True
can have a smooth texture,an elm tree,'',Can an elm tree have a smooth texture?,No,random,-4.422430038452148,-5.304405212402344,Yes,False
can have a tap for warm and cold water,a trout,'',Can a trout have a tap for warm and cold water?,No,random,-4.243284702301025,-4.248071193695068,Yes,False
can have a triangular shape,a sandwich,'',Can a sandwich have a triangular shape?,Yes,random,-3.449233055114746,-4.592293739318848,Yes,True
can have a visor,a helmet,'',Can a helmet have a visor?,Yes,random,-3.4896180629730225,-5.3729472160339355,Yes,True
can have a wooden handle,a spatula,'',Can a spatula have a wooden handle?,Yes,random,-3.101649522781372,-6.590035915374756,Yes,True
can have a wooden handle,a cockroach,'',Can a cockroach have a wooden handle?,No,random,-4.684695243835449,-2.124333143234253,No,True
can have cabins,a houseboat,'',Can a houseboat have cabins?,Yes,random,-3.252105712890625,-7.054405212402344,Yes,True
can have candles,a cat,'',Can a cat have candles?,No,random,-4.7777605056762695,-4.404380798339844,No,True
can have decorations,a desk,'',Can a desk have decorations?,No,random,-2.7797937393188477,-5.78071403503418,Yes,False
can have engravings on it,a cookie,'',Can a cookie have engravings on it?,Yes,random,-2.9334216117858887,-3.935997724533081,Yes,True
can have engravings on it,a moped,'',Can a moped have engravings on it?,No,random,-5.460399627685547,-4.842100143432617,No,True
can have flat or curved leaves,parsley,'',Can parsley have flat or curved leaves?,Yes,random,-5.896792888641357,-6.215035915374756,Yes,True
can have fruity bits in it,a mussel,'',Can a mussel have fruity bits in it?,No,random,-4.404380798339844,-2.4059250354766846,No,True
can have hexagonal heads,a chopping board,'',Can a chopping board have hexagonal heads?,No,random,-2.0613298416137695,-2.937011957168579,Yes,False
can have lice,hair,'',Can hair have lice?,Yes,random,-4.241385459899902,-2.2319376468658447,No,False
can have long sleeves,a colander,'',Can a colander have long sleeves?,No,random,-3.9816136360168457,-2.4834775924682617,No,True
can have multiple taps,a bathtub,'',Can a bathtub have multiple taps?,Yes,random,-4.3568501472473145,-6.491385459899902,Yes,True
can have multiple taps,a toe,'',Can a toe have multiple taps?,No,random,-5.082353591918945,-5.586822032928467,Yes,False
can have one hump,a camel,'',Can a camel have one hump?,Yes,random,-3.4953982830047607,-4.025503158569336,Yes,True
can have rooms,a caravan,'',Can a caravan have rooms?,Yes,random,-3.8527634143829346,-4.497815132141113,Yes,True
can have rough edges,a tweezer,'',Can a tweezer have rough edges?,Yes,random,-5.809117794036865,-5.560997486114502,No,False
can have rough edges,a dinghy,'',Can a dinghy have rough edges?,No,random,-5.74616813659668,-5.998497486114502,Yes,False
can have sharp blades,a sword,'',Can a sword have sharp blades?,Yes,random,-4.466031551361084,-3.6400632858276367,No,False
can have short sleeves,a wetsuit,'',Can a wetsuit have short sleeves?,Yes,random,-3.4288854598999023,-6.24616813659668,Yes,True
can have short sleeves,a pony,'',Can a pony have short sleeves?,No,random,-4.964796543121338,-4.905249118804932,No,True
can have six wheels,a coach,'',Can a coach have six wheels?,Yes,random,-3.748297929763794,-3.2494471073150635,No,False
can have split ends,hair,'',Can hair have split ends?,Yes,random,-5.015705108642578,-3.7728993892669678,No,False
can have striped patterns,a chainsaw,'',Can a chainsaw have striped patterns?,No,random,-3.138110399246216,-2.264857530593872,No,True
can have two decks,a bus,'',Can a bus have two decks?,Yes,random,-4.9001336097717285,-5.341495513916016,Yes,True
can have two decks,a chair,'',Can a chair have two decks?,No,random,-3.075610399246216,-4.217381954193115,Yes,False
can have white petals,a lily,'',Can a lily have white petals?,Yes,random,-2.6481552124023438,-5.528531551361084,Yes,True
can have wire mesh,butter,'',Can butter have wire mesh?,No,random,-5.869357585906982,-4.959292888641357,No,True
can heat water,a lamp,'',Can a lamp heat water?,No,random,-4.651483535766602,-4.092293739318848,No,True
can help organize schedules,a clock,'',Can a clock help organize schedules?,Yes,random,-2.743690252304077,-6.248497486114502,Yes,True
can hibernate,a bear,'',Can a bear hibernate?,Yes,random,-4.278531551361084,-3.045792579650879,No,False
can hit people,an accordion,'',Can an accordion hit people?,No,random,-3.0914957523345947,-4.093017578125,Yes,False
can hold books,a bookcase,'',Can a bookcase hold books?,Yes,random,-2.88909912109375,-4.624446868896484,Yes,True
can hold drinks,a porcupine,'',Can a porcupine hold drinks?,No,random,-4.4348649978637695,-2.796330690383911,No,True
can hold fruit,a platypus,'',Can a platypus hold fruit?,No,random,-4.560315132141113,-4.311588764190674,No,True
can hold sand,a bucket,'',Can a bucket hold sand?,Yes,random,-3.2788503170013428,-3.9681036472320557,Yes,True
can hold sand,an axe,'',Can an axe hold sand?,No,random,-5.029260158538818,-2.5307466983795166,No,True
can hold things in place,a clamp,'',Can a clamp hold things in place?,Yes,random,-3.321716070175171,-5.185997486114502,Yes,True
can hold things together,a bagpipe,'',Can a bagpipe hold things together?,No,random,-4.091880798339844,-4.592293739318848,Yes,False
can hop,a grasshopper,'',Can a grasshopper hop?,Yes,random,-3.0925426483154297,-4.03094482421875,Yes,True
can house birds,a brussels sprout,'',Can a brussels sprout house birds?,No,random,-4.673336505889893,-5.1822662353515625,Yes,False
can hurt,a hedgehog,'',Can a hedgehog hurt?,No,random,-4.462240695953369,-5.715669631958008,Yes,False
can hurt people,a sandwich,'',Can a sandwich hurt people?,No,random,-4.779380798339844,-1.788369059562683,No,True
can hydrate the body,an ant,'',Can an ant hydrate the body?,No,random,-4.184322357177734,-3.170396089553833,No,True
can improve eyesight,a gerbil,'',Can a gerbil improve eyesight?,No,random,-8.11083698272705,-4.0902605056762695,No,True
can infect pets,a harpsichord,'',Can a harpsichord infect pets?,No,random,-7.612490653991699,-5.497195243835449,No,True
can join things,a tuna,'',Can a tuna join things?,No,random,-4.968103408813477,-3.2185866832733154,No,True
can jump out of the water,a dolphin,'',Can a dolphin jump out of the water?,Yes,random,-4.054405212402344,-4.059117794036865,Yes,True
can keep the ears warm,earmuffs,'',Can earmuffs keep the ears warm?,Yes,random,-4.110836505889893,-6.05866813659668,Yes,True
can keep the head warm,a tongue,'',Can a tongue keep the head warm?,No,random,-5.622524261474609,-2.7492902278900146,No,True
can kill,strawberry,'',Can strawberry kill?,No,random,-4.351754665374756,-5.604458332061768,Yes,False
can kill people,a sword,'',Can a sword kill people?,Yes,random,-3.1678595542907715,-2.2956488132476807,No,False
can last a long time,jam,'',Can jam last a long time?,Yes,random,-5.2420244216918945,-5.7666401863098145,Yes,True
can live long,a turtle,'',Can a turtle live long?,Yes,random,-5.933421611785889,-6.685024261474609,Yes,True
can live long,a parakeet,'',Can a parakeet live long?,No,random,-7.368284702301025,-8.371822357177734,Yes,False
can live near the water,a swan,'',Can a swan live near the water?,Yes,random,-4.653531551361084,-4.030603408813477,No,False
can maim,a crossbow,'',Can a crossbow maim?,Yes,random,-4.166958332061768,-5.0572662353515625,Yes,True
can make a clucking noise,a turkey,'',Can a turkey make a clucking noise?,Yes,random,-5.24537992477417,-5.123497486114502,No,False
can make a crashing sound,a speedboat,'',Can a speedboat make a crashing sound?,No,random,-4.7777605056762695,-4.155470371246338,No,True
can make a honking noise,potato,'',Can potato make a honking noise?,No,random,-3.574897289276123,-3.5769362449645996,Yes,False
can make a hooting sound,an owl,'',Can an owl make a hooting sound?,Yes,random,-4.741385459899902,-3.7614824771881104,No,False
can make a hooting sound,a moose,'',Can a moose make a hooting sound?,No,random,-5.338983535766602,-3.4679200649261475,No,True
can make a loud noise,a cymbal,'',Can a cymbal make a loud noise?,Yes,random,-3.3978993892669678,-5.154380798339844,Yes,True
can make a twangy sound,a harpsichord,'',Can a harpsichord make a twangy sound?,Yes,random,-4.871822357177734,-4.624195575714111,No,False
can make butter,milk,'',Can milk make butter?,Yes,random,-2.9191136360168457,-2.2957229614257812,No,False
can make coffee,a coffee maker,'',Can a coffee maker make coffee?,Yes,random,-3.120379686355591,-4.436529636383057,Yes,True
can make coffee,leek,'',Can leek make coffee?,No,random,-5.401483535766602,-2.9053666591644287,No,True
can make honey,a bee,'',Can a bee make honey?,Yes,random,-6.0613298416137695,-0.44891923666000366,No,False
can make loud sounds,a fox,'',Can a fox make loud sounds?,Yes,random,-3.932879686355591,-4.811254501342773,Yes,True
can make music,broccoli,'',Can broccoli make music?,No,random,-2.3105714321136475,-5.060997486114502,Yes,False
can make people feel seasick,a shrimp,'',Can a shrimp make people feel seasick?,No,random,-5.084863185882568,-3.606780767440796,No,True
can make puree,a blender,'',Can a blender make puree?,Yes,random,-4.010858535766602,-7.286199569702148,Yes,True
can make raisins,a caterpillar,'',Can a caterpillar make raisins?,No,random,-4.496399879455566,-1.3586760759353638,No,True
can make you drunk,whiskey,'',Can whiskey make you drunk?,Yes,random,-3.365244150161743,-5.246399879455566,Yes,True
can make you fall,tangerine,'',Can tangerine make you fall?,No,random,-6.416958332061768,-5.176452159881592,No,True
can melt,cheese,'',Can cheese melt?,Yes,random,-4.498071193695068,-3.8897552490234375,No,False
can melt in the mouth,whiskey,'',Can whiskey melt in the mouth?,No,random,-5.525503158569336,-4.279131889343262,No,True
can melt under heat,ice cream,'',Can ice cream melt under heat?,Yes,random,-4.580019474029541,-4.713676929473877,Yes,True
can meow,a cat,'',Can a cat meow?,Yes,random,-3.525850534439087,-4.529260158538818,Yes,True
can meow,a mirror,'',Can a mirror meow?,No,random,-4.838003158569336,-4.091031551361084,No,True
can migrate,a bathtub,'',Can a bathtub migrate?,No,random,-4.185997486114502,-3.671330690383911,No,True
can mix ingredients,a blender,'',Can a blender mix ingredients?,Yes,random,-4.03452730178833,-6.240832328796387,Yes,True
can open,a clam,'',Can a clam open?,Yes,random,-4.248497486114502,-2.515324354171753,No,False
can open cans,a can opener,'',Can a can opener open cans?,Yes,random,-2.653695821762085,-3.6557140350341797,Yes,True
can peck,a peacock,'',Can a peacock peck?,Yes,random,-4.496822357177734,-4.249195575714111,No,False
can pierce or impale,a knife,'',Can a knife pierce or impale?,Yes,random,-5.462240695953369,-4.966993808746338,No,False
can pierce or impale,a rat,'',Can a rat pierce or impale?,No,random,-7.153356075286865,-5.030679702758789,No,True
can play audio,a canary,'',Can a canary play audio?,No,random,-4.934695243835449,-2.2494471073150635,No,True
can pollinate,a hummingbird,'',Can a hummingbird pollinate?,Yes,random,-4.683159351348877,-5.185688018798828,Yes,True
can pollinate flowers,a bee,'',Can a bee pollinate flowers?,Yes,random,-4.4947662353515625,-5.810797691345215,Yes,True
can pounce,a budgie,'',Can a budgie pounce?,No,random,-6.0904717445373535,-6.592809677124023,Yes,False
can prance,a horse,'',Can a horse prance?,Yes,random,-4.088003158569336,-4.96720027923584,Yes,True
can prance,an owl,'',Can an owl prance?,No,random,-5.373071193695068,-3.1089510917663574,No,True
can press,a finger,'',Can a finger press?,Yes,random,-3.826284646987915,-3.2026593685150146,No,False
can prevent mess,a chipmunk,'',Can a chipmunk prevent mess?,No,random,-4.244429588317871,-4.2473649978637695,Yes,False
can produce cider,pear,'',Can pear produce cider?,Yes,random,-3.3833658695220947,-4.87116813659668,Yes,True
can produce cider,an eel,'',Can an eel produce cider?,No,random,-5.5613298416137695,-1.9294978380203247,No,True
can protect against weapons,an armor,'',Can an armor protect against weapons?,Yes,random,-4.4029717445373535,-4.53004264831543,Yes,True
can protect from spills,an apron,'',Can an apron protect from spills?,Yes,random,-3.7459216117858887,-3.4980714321136475,No,False
can provide fitness,a bicycle,'',Can a bicycle provide fitness?,Yes,random,-2.95624041557312,-7.461822032928467,Yes,True
can provide shade,a pine tree,'',Can a pine tree provide shade?,Yes,random,-4.054893970489502,-4.4322662353515625,Yes,True
can provide shelter,a houseboat,'',Can a houseboat provide shelter?,Yes,random,-3.372195243835449,-5.749088764190674,Yes,True
can provide support,a bra,'',Can a bra provide support?,Yes,random,-2.291722059249878,-5.810024261474609,Yes,True
can provide water,an elephant,'',Can an elephant provide water?,No,random,-4.4354472160339355,-4.0617899894714355,No,True
can pull things,a starling,'',Can a starling pull things?,No,random,-4.742393970489502,-3.623297929763794,No,True
can quack,a duck,'',Can a duck quack?,Yes,random,-3.1854472160339355,-3.4367902278900146,Yes,True
can regenerate,a wolf,'',Can a wolf regenerate?,No,random,-5.9652605056762695,-5.591631889343262,No,True
can reproduce quickly,a bagpipe,'',Can a bagpipe reproduce quickly?,No,random,-5.308159351348877,-2.7017781734466553,No,True
can require electricity,a crayfish,'',Can a crayfish require electricity?,No,random,-4.7779717445373535,-2.421031951904297,No,True
can rip,a box,'',Can a box rip?,No,random,-4.71786642074585,-3.2341177463531494,No,True
can roll,a bra,'',Can a bra roll?,No,random,-3.0444376468658447,-2.0459775924682617,No,True
can rotate its head,an owl,'',Can an owl rotate its head?,Yes,random,-5.830019474029541,-5.465856075286865,No,False
can rub its wings,a bowl,'',Can a bowl rub its wings?,No,random,-5.529793739318848,-2.2184250354766846,No,True
can run,a wheelbarrow,'',Can a wheelbarrow run?,No,random,-5.433159351348877,-1.3039830923080444,No,True
can run on nuclear power,cheese,'',Can cheese run on nuclear power?,No,random,-4.089542388916016,-5.341196060180664,Yes,False
can save time,a dishwasher,'',Can a dishwasher save time?,Yes,random,-2.619429588317871,-6.246617794036865,Yes,True
can save time,an oak tree,'',Can an oak tree save time?,No,random,-3.9673819541931152,-2.468332529067993,No,True
can scavenge in bins,a raccoon,'',Can a raccoon scavenge in bins?,Yes,random,-3.7603089809417725,-4.778696060180664,Yes,True
can scuttle,a clarinet,'',Can a clarinet scuttle?,No,random,-5.935797691345215,-2.5466747283935547,No,True
can secure things,a clamp,'',Can a clamp secure things?,Yes,random,-3.278531312942505,-4.655470371246338,Yes,True
can see,an eye,'',Can an eye see?,Yes,random,-5.15504264831543,-3.0154426097869873,No,False
can see in the dark,an owl,'',Can an owl see in the dark?,Yes,random,-3.131875514984131,-4.2473649978637695,Yes,True
can see in the dark,a monkey,'',Can a monkey see in the dark?,No,random,-6.241385459899902,-4.371399879455566,No,True
can separate food from water,a hummingbird,'',Can a hummingbird separate food from water?,No,random,-6.2154717445373535,-4.342684268951416,No,True
can serve food on board,a train,'',Can a train serve food on board?,Yes,random,-4.049990653991699,-5.8072662353515625,Yes,True
can serve food on board,a kayak,'',Can a kayak serve food on board?,No,random,-4.333685874938965,-5.339271545410156,Yes,False
can shine,a lamp,'',Can a lamp shine?,Yes,random,-4.5613298416137695,-2.937269449234009,No,False
can shoot spikes,a porcupine,'',Can a porcupine shoot spikes?,Yes,random,-5.617853164672852,-2.982476234436035,No,False
can shoot spikes,a ship,'',Can a ship shoot spikes?,No,random,-5.153169631958008,-3.030561923980713,No,True
can sieve,broccoli,'',Can broccoli sieve?,No,random,-4.435571193695068,-3.7017781734466553,No,True
can sing,a budgie,'',Can a budgie sing?,Yes,random,-2.574897289276123,-4.218103408813477,Yes,True
can sing,an ox,'',Can an ox sing?,No,random,-5.0617899894714355,-2.6873910427093506,No,True
can skip traffic lights,an ambulance,'',Can an ambulance skip traffic lights?,Yes,random,-4.330019474029541,-6.401176929473877,Yes,True
can slide,a sledge,'',Can a sledge slide?,Yes,random,-4.498497486114502,-4.749541759490967,Yes,True
can sniff,a gun,'',Can a gun sniff?,No,random,-5.528169631958008,-3.5457229614257812,No,True
can spill oil,an oil tanker,'',Can an oil tanker spill oil?,Yes,random,-4.748967170715332,-3.499619960784912,No,False
can spill oil,a microwave,'',Can a microwave spill oil?,No,random,-6.269123077392578,-4.5277605056762695,No,True
can spin,a canary,'',Can a canary spin?,No,random,-4.467293739318848,-3.7182769775390625,No,True
can spray liquid,a hose,'',Can a hose spray liquid?,Yes,random,-4.991385459899902,-3.8718223571777344,No,False
can sprout,potato,'',Can potato sprout?,Yes,random,-3.4152634143829346,-5.684322357177734,Yes,True
can squawk,a parakeet,'',Can a parakeet squawk?,Yes,random,-4.930784702301025,-5.934322357177734,Yes,True
can squirt ink,a grater,'',Can a grater squirt ink?,No,random,-4.497524261474609,-2.8741955757141113,No,True
can stab,leek,'',Can leek stab?,No,random,-4.464796543121338,-4.717615604400635,Yes,False
can stain,ketchup,'',Can ketchup stain?,Yes,random,-3.512397289276123,-4.998497486114502,Yes,True
can stand on one leg,a saw,'',Can a saw stand on one leg?,No,random,-4.716495513916016,-1.7260550260543823,No,True
can stand up vertically,a kangaroo,'',Can a kangaroo stand up vertically?,Yes,random,-3.913393497467041,-4.029131889343262,Yes,True
can stand up vertically,a lion,'',Can a lion stand up vertically?,No,random,-5.075029373168945,-3.840035915374756,No,True
can sting,an ant,'',Can an ant sting?,Yes,random,-5.397363185882568,-3.012397289276123,No,False
can stop,a car,'',Can a car stop?,No,random,-4.091031551361084,-4.717919826507568,Yes,False
can stop bullets,a mug,'',Can a mug stop bullets?,No,random,-4.613952159881592,-3.6069376468658447,No,True
can store beer and ale,a french horn,'',Can a french horn store beer and ale?,No,random,-5.364618301391602,-3.9979472160339355,No,True
can store chutney,a football,'',Can a football store chutney?,No,random,-3.8730714321136475,-3.374373435974121,No,True
can store food in its cheeks,a hamster,'',Can a hamster store food in its cheeks?,Yes,random,-5.298336505889893,-4.434322357177734,No,False
can store jam,a jar,'',Can a jar store jam?,Yes,random,-4.118690013885498,-4.124195575714111,Yes,True
can store milk,a bottle,'',Can a bottle store milk?,Yes,random,-4.560024261474609,-3.8117902278900146,No,False
can store water,a daisy,'',Can a daisy store water?,No,random,-4.68287992477417,-2.2017781734466553,No,True
can strut,banana,'',Can banana strut?,No,random,-2.669976234436035,-3.6707229614257812,Yes,False
can suck blood,tights,'',Can tights suck blood?,No,random,-5.995659351348877,-3.889575958251953,No,True
can support body weight,satsuma,'',Can satsuma support body weight?,No,random,-7.586958408355713,-7.6068501472473145,Yes,False
can support spectacles,an ear,'',Can an ear support spectacles?,Yes,random,-5.47202730178833,-4.617853164672852,No,False
can support spectacles,a hose,'',Can a hose support spectacles?,No,random,-5.091196060180664,-4.218061923980713,No,True
can support the body,a squirrel,'',Can a squirrel support the body?,No,random,-5.966031551361084,-4.092615604400635,No,True
