property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
can drool,a calf,'',Can a calf drool?,Yes,random,-4.123588562011719,-8.061744689941406,Yes,True
can drown its prey,a crocodile,'',Can a crocodile drown its prey?,Yes,random,-2.1663906574249268,-4.181190013885498,Yes,True
can eat other birds,a shovel,'',Can a shovel eat other birds?,No,random,-4.654493808746338,-4.65536642074585,Yes,False
can eat plants,a refrigerator,'',Can a refrigerator eat plants?,No,random,-5.123588562011719,-4.624029636383057,No,True
can eat smaller birds,a pelican,'',Can a pelican eat smaller birds?,Yes,random,-1.5615297555923462,-6.374143600463867,Yes,True
can entertain,a clam,'',Can a clam entertain?,No,random,-2.855830669403076,-2.5426011085510254,No,True
can fall,a goat,'',Can a goat fall?,No,random,-3.027535915374756,-6.963003158569336,Yes,False
can fetch ball,a dog,'',Can a dog fetch ball?,Yes,random,-2.5300776958465576,-4.604458332061768,Yes,True
can filter,jam,'',Can jam filter?,No,random,-3.4048726558685303,-4.7142229080200195,Yes,False
can filter water,a chopping board,'',Can a chopping board filter water?,No,random,-3.946211814880371,-2.832702159881592,No,True
can fire arrows,ham,'',Can ham fire arrows?,No,random,-5.749642848968506,-5.562296390533447,No,True
can fire long range,a rifle,'',Can a rifle fire long range?,Yes,random,-3.2139835357666016,-6.274740695953369,Yes,True
can flash,a camera,'',Can a camera flash?,Yes,random,-2.3174498081207275,-3.752401828765869,Yes,True
can flash,a hyacinth,'',Can a hyacinth flash?,No,random,-4.124480724334717,-5.249738693237305,Yes,False
can flatten,a budgie,'',Can a budgie flatten?,No,random,-2.678332567214966,-4.554405212402344,Yes,False
can float in air,a jacket,'',Can a jacket float in air?,No,random,-2.7396180629730225,-4.429405212402344,Yes,False
can flutter,an oven,'',Can an oven flutter?,No,random,-3.0295491218566895,-4.389710903167725,Yes,False
can fly,a unicycle,'',Can a unicycle fly?,No,random,-4.456623077392578,-3.399740695953369,No,True
can fly backwards,a hummingbird,'',Can a hummingbird fly backwards?,Yes,random,-1.2675548791885376,-4.088350296020508,Yes,True
can fly backwards,a donut,'',Can a donut fly backwards?,No,random,-4.210903167724609,-5.023877143859863,Yes,False
can fly fast,a hummingbird,'',Can a hummingbird fly fast?,Yes,random,-2.4307847023010254,-4.678332328796387,Yes,True
can fly fast,a parka,'',Can a parka fly fast?,No,random,-5.05787992477417,-5.9354472160339355,Yes,False
can get cold,a mackerel,'',Can a mackerel get cold?,No,random,-4.436088562011719,-6.999029636383057,Yes,False
can get congested,a bicycle,'',Can a bicycle get congested?,No,random,-3.738243818283081,-2.9896180629730225,No,True
can get full,a bin,'',Can a bin get full?,Yes,random,-2.339129686355591,-4.463003158569336,Yes,True
can get knotted,a catapult,'',Can a catapult get knotted?,No,random,-4.489618301391602,-5.368690013885498,Yes,False
can give birth to mules,a throne,'',Can a throne give birth to mules?,No,random,-5.9027605056762695,-3.9049649238586426,No,True
can glide,a buzzard,'',Can a buzzard glide?,Yes,random,-1.9737356901168823,-6.091350555419922,Yes,True
can glide,a rhino,'',Can a rhino glide?,No,random,-6.624411582946777,-3.6716012954711914,No,True
can go into a shoe,a foot,'',Can a foot go into a shoe?,Yes,random,-3.511733055114746,-5.653169631958008,Yes,True
can go into a sock,a flea,'',Can a flea go into a sock?,No,random,-2.6116890907287598,-5.295440196990967,Yes,False
can go into wall,a nail,'',Can a nail go into wall?,Yes,random,-3.2185873985290527,-5.357940196990967,Yes,True
can go stale,a ladle,'',Can a ladle go stale?,No,random,-3.6146180629730225,-4.235836505889893,Yes,False
can go through corks,a corkscrew,'',Can a corkscrew go through corks?,Yes,random,-1.6568597555160522,-5.148403167724609,Yes,True
can go through corks,a woodpecker,'',Can a woodpecker go through corks?,No,random,-3.1838998794555664,-5.684117794036865,Yes,False
can go without drinking water,an apple,'',Can an apple go without drinking water?,No,random,-3.112203359603882,-3.0816705226898193,No,True
can grate,a grater,'',Can a grater grate?,Yes,random,-2.690018892288208,-4.701153755187988,Yes,True
can grate vegetables,turnip,'',Can turnip grate vegetables?,No,random,-2.536330461502075,-6.269853591918945,Yes,False
can grow,a leg,'',Can a leg grow?,Yes,random,-2.5107080936431885,-3.628277063369751,Yes,True
can growl,whiskey,'',Can whiskey growl?,No,random,-5.686695575714111,-6.873900890350342,Yes,False
can hang from the ceiling,a moped,'',Can a moped hang from the ceiling?,No,random,-3.8538906574249268,-5.310173988342285,Yes,False
can have a baby seat,a trolley,'',Can a trolley have a baby seat?,Yes,random,-2.69563627243042,-4.338676929473877,Yes,True
can have a basket,a trolley,'',Can a trolley have a basket?,Yes,random,-3.0746893882751465,-6.091495513916016,Yes,True
can have a bell,a trumpet,'',Can a trumpet have a bell?,Yes,random,-2.670199155807495,-5.155184268951416,Yes,True
can have a bin bag,a bin,'',Can a bin have a bin bag?,Yes,random,-2.429893970489502,-5.8690714836120605,Yes,True
can have a cork,a spatula,'',Can a spatula have a cork?,No,random,-3.326284646987915,-6.655517578125,Yes,False
can have a duvet,ham,'',Can ham have a duvet?,No,random,-4.8432769775390625,-6.843480587005615,Yes,False
can have a hammer shaped head,kiwi,'',Can kiwi have a hammer shaped head?,No,random,-5.655832767486572,-6.093540191650391,Yes,False
can have a headboard,a bed,'',Can a bed have a headboard?,Yes,random,-2.351405382156372,-5.6815714836120605,Yes,True
can have a hot temperature,an oven,'',Can an oven have a hot temperature?,Yes,random,-2.589129686355591,-6.402042388916016,Yes,True
can have a kidney shape,a bean,'',Can a bean have a kidney shape?,Yes,random,-4.623071193695068,-7.874029636383057,Yes,True
can have a label,butter,'',Can butter have a label?,No,random,-4.214796543121338,-10.559117317199707,Yes,False
can have a large surface area,a yacht,'',Can a yacht have a large surface area?,No,random,-3.6070852279663086,-6.623754501342773,Yes,False
can have a lever,pliers,'',Can pliers have a lever?,Yes,random,-2.573432207107544,-5.8723649978637695,Yes,True
can have a lever,a clam,'',Can a clam have a lever?,No,random,-4.999088764190674,-5.437041759490967,Yes,False
can have a lid,a basket,'',Can a basket have a lid?,Yes,random,-3.8199033737182617,-5.301452159881592,Yes,True
can have a minibar,a limousine,'',Can a limousine have a minibar?,Yes,random,-3.4528050422668457,-8.937420845031738,Yes,True
can have a motor,a tongue,'',Can a tongue have a motor?,No,random,-3.9781627655029297,-3.9170336723327637,No,True
can have a rough texture,grapefruit,'',Can grapefruit have a rough texture?,Yes,random,-4.280470371246338,-7.655309677124023,Yes,True
can have a rubber band,a catapult,'',Can a catapult have a rubber band?,Yes,random,-2.22688627243042,-5.8690714836120605,Yes,True
can have a smooth texture,an elm tree,'',Can an elm tree have a smooth texture?,No,random,-5.655249118804932,-7.030309677124023,Yes,False
can have a tap for warm and cold water,a trout,'',Can a trout have a tap for warm and cold water?,No,random,-4.49701452255249,-5.123588562011719,Yes,False
can have a triangular shape,a sandwich,'',Can a sandwich have a triangular shape?,Yes,random,-3.0604472160339355,-6.998497486114502,Yes,True
can have a visor,a helmet,'',Can a helmet have a visor?,Yes,random,-2.689605712890625,-6.115243911743164,Yes,True
can have a wooden handle,a spatula,'',Can a spatula have a wooden handle?,Yes,random,-3.3422000408172607,-8.061790466308594,Yes,True
can have a wooden handle,a cockroach,'',Can a cockroach have a wooden handle?,No,random,-4.24701452255249,-4.185688018798828,No,True
can have cabins,a houseboat,'',Can a houseboat have cabins?,Yes,random,-1.8956544399261475,-7.716993808746338,Yes,True
can have candles,a cat,'',Can a cat have candles?,No,random,-2.934695243835449,-5.7479472160339355,Yes,False
can have decorations,a desk,'',Can a desk have decorations?,No,random,-3.0641796588897705,-7.768345832824707,Yes,False
can have engravings on it,a cookie,'',Can a cookie have engravings on it?,Yes,random,-3.285654306411743,-6.708685874938965,Yes,True
can have engravings on it,a moped,'',Can a moped have engravings on it?,No,random,-4.279131889343262,-8.874195098876953,Yes,False
can have flat or curved leaves,parsley,'',Can parsley have flat or curved leaves?,Yes,random,-2.294853925704956,-6.5904717445373535,Yes,True
can have fruity bits in it,a mussel,'',Can a mussel have fruity bits in it?,No,random,-5.903696060180664,-5.718017578125,No,True
can have hexagonal heads,a chopping board,'',Can a chopping board have hexagonal heads?,No,random,-3.527535915374756,-4.840669631958008,Yes,False
can have lice,hair,'',Can hair have lice?,Yes,random,-2.740244150161743,-5.678332328796387,Yes,True
can have long sleeves,a colander,'',Can a colander have long sleeves?,No,random,-5.558421611785889,-5.373188018798828,No,True
can have multiple taps,a bathtub,'',Can a bathtub have multiple taps?,Yes,random,-2.3333680629730225,-5.960903167724609,Yes,True
can have multiple taps,a toe,'',Can a toe have multiple taps?,No,random,-4.208040237426758,-5.775503158569336,Yes,False
can have one hump,a camel,'',Can a camel have one hump?,Yes,random,-1.8735734224319458,-4.1822662353515625,Yes,True
can have rooms,a caravan,'',Can a caravan have rooms?,Yes,random,-2.331993818283081,-5.961822032928467,Yes,True
can have rough edges,a tweezer,'',Can a tweezer have rough edges?,Yes,random,-3.0750925540924072,-6.5604472160339355,Yes,True
can have rough edges,a dinghy,'',Can a dinghy have rough edges?,No,random,-3.0688138008117676,-5.552743911743164,Yes,False
can have sharp blades,a sword,'',Can a sword have sharp blades?,Yes,random,-2.3566136360168457,-5.0904717445373535,Yes,True
can have short sleeves,a wetsuit,'',Can a wetsuit have short sleeves?,Yes,random,-1.9446436166763306,-6.526483535766602,Yes,True
can have short sleeves,a pony,'',Can a pony have short sleeves?,No,random,-3.0804390907287598,-4.144123077392578,Yes,False
can have six wheels,a coach,'',Can a coach have six wheels?,Yes,random,-2.314605712890625,-4.678885459899902,Yes,True
can have split ends,hair,'',Can hair have split ends?,Yes,random,-2.4812464714050293,-5.93287992477417,Yes,True
can have striped patterns,a chainsaw,'',Can a chainsaw have striped patterns?,No,random,-4.748673915863037,-6.999541759490967,Yes,False
can have two decks,a bus,'',Can a bus have two decks?,Yes,random,-1.5559322834014893,-6.424990653991699,Yes,True
can have two decks,a chair,'',Can a chair have two decks?,No,random,-3.192580461502075,-3.6286849975585938,Yes,False
can have white petals,a lily,'',Can a lily have white petals?,Yes,random,-2.294976234436035,-6.685900688171387,Yes,True
can have wire mesh,butter,'',Can butter have wire mesh?,No,random,-4.275850296020508,-6.653169631958008,Yes,False
can heat water,a lamp,'',Can a lamp heat water?,No,random,-4.771185874938965,-6.7751336097717285,Yes,False
can help organize schedules,a clock,'',Can a clock help organize schedules?,Yes,random,-2.5578982830047607,-5.939901828765869,Yes,True
can hibernate,a bear,'',Can a bear hibernate?,Yes,random,-1.721803903579712,-5.098699569702148,Yes,True
can hit people,an accordion,'',Can an accordion hit people?,No,random,-2.200610399246216,-5.839271545410156,Yes,False
can hold books,a bookcase,'',Can a bookcase hold books?,Yes,random,-2.0447237491607666,-5.904260158538818,Yes,True
can hold drinks,a porcupine,'',Can a porcupine hold drinks?,No,random,-4.060315132141113,-4.935797691345215,Yes,False
can hold fruit,a platypus,'',Can a platypus hold fruit?,No,random,-4.559322357177734,-6.059117794036865,Yes,False
can hold sand,a bucket,'',Can a bucket hold sand?,Yes,random,-2.2953007221221924,-6.592293739318848,Yes,True
can hold sand,an axe,'',Can an axe hold sand?,No,random,-3.6529715061187744,-4.527296543121338,Yes,False
can hold things in place,a clamp,'',Can a clamp hold things in place?,Yes,random,-2.8538906574249268,-6.9001336097717285,Yes,True
can hold things together,a bagpipe,'',Can a bagpipe hold things together?,No,random,-4.654600143432617,-7.778995513916016,Yes,False
can hop,a grasshopper,'',Can a grasshopper hop?,Yes,random,-2.411966323852539,-5.4541401863098145,Yes,True
can house birds,a brussels sprout,'',Can a brussels sprout house birds?,No,random,-5.967293739318848,-4.342749118804932,No,True
can hurt,a hedgehog,'',Can a hedgehog hurt?,No,random,-3.0741426944732666,-5.760858535766602,Yes,False
can hurt people,a sandwich,'',Can a sandwich hurt people?,No,random,-2.0122950077056885,-3.947467088699341,Yes,False
can hydrate the body,an ant,'',Can an ant hydrate the body?,No,random,-3.41438627243042,-5.429405212402344,Yes,False
can improve eyesight,a gerbil,'',Can a gerbil improve eyesight?,No,random,-5.343017578125,-5.593332767486572,Yes,False
can infect pets,a harpsichord,'',Can a harpsichord infect pets?,No,random,-6.65470027923584,-4.217749118804932,No,True
can join things,a tuna,'',Can a tuna join things?,No,random,-3.5823535919189453,-3.7027158737182617,Yes,False
can jump out of the water,a dolphin,'',Can a dolphin jump out of the water?,Yes,random,-0.8279135227203369,-6.834554195404053,Yes,True
can keep the ears warm,earmuffs,'',Can earmuffs keep the ears warm?,Yes,random,-1.9200071096420288,-6.61324405670166,Yes,True
can keep the head warm,a tongue,'',Can a tongue keep the head warm?,No,random,-5.186254501342773,-5.124244213104248,No,True
can kill,strawberry,'',Can strawberry kill?,No,random,-2.7767715454101562,-5.898877143859863,Yes,False
can kill people,a sword,'',Can a sword kill people?,Yes,random,-1.5907645225524902,-5.402535915374756,Yes,True
can last a long time,jam,'',Can jam last a long time?,Yes,random,-2.7163503170013428,-5.465669631958008,Yes,True
can live long,a turtle,'',Can a turtle live long?,Yes,random,-3.086958646774292,-6.399458408355713,Yes,True
can live long,a parakeet,'',Can a parakeet live long?,No,random,-3.369429588317871,-5.9940714836120605,Yes,False
can live near the water,a swan,'',Can a swan live near the water?,Yes,random,-1.9545865058898926,-6.880748748779297,Yes,True
can maim,a crossbow,'',Can a crossbow maim?,Yes,random,-3.061174154281616,-6.998754501342773,Yes,True
can make a clucking noise,a turkey,'',Can a turkey make a clucking noise?,Yes,random,-4.999029636383057,-5.687012195587158,Yes,True
can make a crashing sound,a speedboat,'',Can a speedboat make a crashing sound?,No,random,-3.904600143432617,-7.71754264831543,Yes,False
can make a honking noise,potato,'',Can potato make a honking noise?,No,random,-7.0604472160339355,-4.935997486114502,No,True
can make a hooting sound,an owl,'',Can an owl make a hooting sound?,Yes,random,-2.748967170715332,-6.311400890350342,Yes,True
can make a hooting sound,a moose,'',Can a moose make a hooting sound?,No,random,-4.873673915863037,-5.061832904815674,Yes,False
can make a loud noise,a cymbal,'',Can a cymbal make a loud noise?,Yes,random,-4.216631889343262,-7.154793739318848,Yes,True
can make a twangy sound,a harpsichord,'',Can a harpsichord make a twangy sound?,Yes,random,-6.155603408813477,-5.656064987182617,No,False
can make butter,milk,'',Can milk make butter?,Yes,random,-3.0012402534484863,-3.7512402534484863,Yes,True
can make coffee,a coffee maker,'',Can a coffee maker make coffee?,Yes,random,-1.815037727355957,-4.807582378387451,Yes,True
can make coffee,leek,'',Can leek make coffee?,No,random,-6.467749118804932,-4.843480587005615,No,True
can make honey,a bee,'',Can a bee make honey?,Yes,random,-1.9685873985290527,-5.1681904792785645,Yes,True
can make loud sounds,a fox,'',Can a fox make loud sounds?,Yes,random,-3.4812464714050293,-5.153850555419922,Yes,True
can make music,broccoli,'',Can broccoli make music?,No,random,-4.177118301391602,-2.863243818283081,No,True
can make people feel seasick,a shrimp,'',Can a shrimp make people feel seasick?,No,random,-6.436695575714111,-6.811643600463867,Yes,False
can make puree,a blender,'',Can a blender make puree?,Yes,random,-1.6553807258605957,-6.334863185882568,Yes,True
can make raisins,a caterpillar,'',Can a caterpillar make raisins?,No,random,-6.530642509460449,-4.343540191650391,No,True
can make you drunk,whiskey,'',Can whiskey make you drunk?,Yes,random,-1.7534375190734863,-5.428332328796387,Yes,True
can make you fall,tangerine,'',Can tangerine make you fall?,No,random,-3.8838043212890625,-4.740832328796387,Yes,False
can melt,cheese,'',Can cheese melt?,Yes,random,-2.201690435409546,-4.821211814880371,Yes,True
can melt in the mouth,whiskey,'',Can whiskey melt in the mouth?,No,random,-3.7926011085510254,-6.053885459899902,Yes,False
can melt under heat,ice cream,'',Can ice cream melt under heat?,Yes,random,-2.022082567214966,-5.958040237426758,Yes,True
can meow,a cat,'',Can a cat meow?,Yes,random,-1.6924856901168823,-5.810024261474609,Yes,True
can meow,a mirror,'',Can a mirror meow?,No,random,-5.621822357177734,-3.545485496520996,No,True
can migrate,a bathtub,'',Can a bathtub migrate?,No,random,-2.9022645950317383,-4.508711814880371,Yes,False
can mix ingredients,a blender,'',Can a blender mix ingredients?,Yes,random,-1.5646984577178955,-6.431929588317871,Yes,True
can open,a clam,'',Can a clam open?,Yes,random,-2.426452159881592,-4.553332328796387,Yes,True
can open cans,a can opener,'',Can a can opener open cans?,Yes,random,-1.4516915082931519,-4.966760158538818,Yes,True
can peck,a peacock,'',Can a peacock peck?,Yes,random,-2.4919052124023438,-5.178332328796387,Yes,True
can pierce or impale,a knife,'',Can a knife pierce or impale?,Yes,random,-3.196716070175171,-4.769853591918945,Yes,True
can pierce or impale,a rat,'',Can a rat pierce or impale?,No,random,-3.9985885620117188,-5.1863298416137695,Yes,False
can play audio,a canary,'',Can a canary play audio?,No,random,-3.494429588317871,-4.995659351348877,Yes,False
can pollinate,a hummingbird,'',Can a hummingbird pollinate?,Yes,random,-1.8682847023010254,-4.8690714836120605,Yes,True
can pollinate flowers,a bee,'',Can a bee pollinate flowers?,Yes,random,-2.1834216117858887,-5.870082378387451,Yes,True
can pounce,a budgie,'',Can a budgie pounce?,No,random,-5.717293739318848,-6.530309677124023,Yes,False
can prance,a horse,'',Can a horse prance?,Yes,random,-2.0241031646728516,-6.022899627685547,Yes,True
can prance,an owl,'',Can an owl prance?,No,random,-3.9288854598999023,-3.927744150161743,No,True
can press,a finger,'',Can a finger press?,Yes,random,-2.5553531646728516,-4.179405212402344,Yes,True
can prevent mess,a chipmunk,'',Can a chipmunk prevent mess?,No,random,-3.389904022216797,-7.155603408813477,Yes,False
can produce cider,pear,'',Can pear produce cider?,Yes,random,-4.592100143432617,-7.655309677124023,Yes,True
can produce cider,an eel,'',Can an eel produce cider?,No,random,-7.466993808746338,-4.655832767486572,No,True
can protect against weapons,an armor,'',Can an armor protect against weapons?,Yes,random,-2.054893970489502,-4.799990653991699,Yes,True
can protect from spills,an apron,'',Can an apron protect from spills?,Yes,random,-1.6086760759353638,-7.280561923980713,Yes,True
can provide fitness,a bicycle,'',Can a bicycle provide fitness?,Yes,random,-2.2318501472473145,-5.72202730178833,Yes,True
can provide shade,a pine tree,'',Can a pine tree provide shade?,Yes,random,-3.186744213104248,-8.436695098876953,Yes,True
can provide shelter,a houseboat,'',Can a houseboat provide shelter?,Yes,random,-2.668102502822876,-7.837240695953369,Yes,True
can provide support,a bra,'',Can a bra provide support?,Yes,random,-2.4601354598999023,-5.272363185882568,Yes,True
can provide water,an elephant,'',Can an elephant provide water?,No,random,-3.1788854598999023,-5.115832328796387,Yes,False
can pull things,a starling,'',Can a starling pull things?,No,random,-2.368690252304077,-5.680353164672852,Yes,False
can quack,a duck,'',Can a duck quack?,Yes,random,-1.9563530683517456,-5.085903167724609,Yes,True
can regenerate,a wolf,'',Can a wolf regenerate?,No,random,-2.900850534439087,-3.588676929473877,Yes,False
can reproduce quickly,a bagpipe,'',Can a bagpipe reproduce quickly?,No,random,-7.718017578125,-7.9684247970581055,Yes,False
can require electricity,a crayfish,'',Can a crayfish require electricity?,No,random,-6.468332767486572,-5.46862268447876,No,True
can rip,a box,'',Can a box rip?,No,random,-3.4307847023010254,-4.735836505889893,Yes,False
can roll,a bra,'',Can a bra roll?,No,random,-1.5856553316116333,-4.6416401863098145,Yes,False
can rotate its head,an owl,'',Can an owl rotate its head?,Yes,random,-1.3104804754257202,-5.113952159881592,Yes,True
can rub its wings,a bowl,'',Can a bowl rub its wings?,No,random,-5.560024261474609,-3.998297929763794,No,True
can run,a wheelbarrow,'',Can a wheelbarrow run?,No,random,-3.4685873985290527,-3.7100274562835693,Yes,False
can run on nuclear power,cheese,'',Can cheese run on nuclear power?,No,random,-6.404380798339844,-3.5772552490234375,No,True
can save time,a dishwasher,'',Can a dishwasher save time?,Yes,random,-2.2450826168060303,-6.867393970489502,Yes,True
can save time,an oak tree,'',Can an oak tree save time?,No,random,-4.5617899894714355,-6.249512195587158,Yes,False
can scavenge in bins,a raccoon,'',Can a raccoon scavenge in bins?,Yes,random,-4.372524261474609,-9.373400688171387,Yes,True
can scuttle,a clarinet,'',Can a clarinet scuttle?,No,random,-4.717464923858643,-5.405184268951416,Yes,False
can secure things,a clamp,'',Can a clamp secure things?,Yes,random,-2.819375514984131,-6.677118301391602,Yes,True
can see,an eye,'',Can an eye see?,Yes,random,-3.1298105716705322,-3.4740703105926514,Yes,True
can see in the dark,an owl,'',Can an owl see in the dark?,Yes,random,-1.330861210823059,-4.502401828765869,Yes,True
can see in the dark,a monkey,'',Can a monkey see in the dark?,No,random,-2.413867712020874,-3.465414524078369,Yes,False
can separate food from water,a hummingbird,'',Can a hummingbird separate food from water?,No,random,-4.932582378387451,-7.3690714836120605,Yes,False
can serve food on board,a train,'',Can a train serve food on board?,Yes,random,-1.742625117301941,-6.108965873718262,Yes,True
can serve food on board,a kayak,'',Can a kayak serve food on board?,No,random,-3.8838043212890625,-5.306190013885498,Yes,False
can shine,a lamp,'',Can a lamp shine?,Yes,random,-2.833994150161743,-5.082353591918945,Yes,True
can shoot spikes,a porcupine,'',Can a porcupine shoot spikes?,Yes,random,-2.9664957523345947,-2.091195821762085,No,False
can shoot spikes,a ship,'',Can a ship shoot spikes?,No,random,-2.925373077392578,-3.5431907176971436,Yes,False
can sieve,broccoli,'',Can broccoli sieve?,No,random,-3.6843223571777344,-5.6223649978637695,Yes,False
can sing,a budgie,'',Can a budgie sing?,Yes,random,-2.193216323852539,-4.614618301391602,Yes,True
can sing,an ox,'',Can an ox sing?,No,random,-4.336313724517822,-1.621010661125183,No,True
can skip traffic lights,an ambulance,'',Can an ambulance skip traffic lights?,Yes,random,-2.7396180629730225,-4.366385459899902,Yes,True
can slide,a sledge,'',Can a sledge slide?,Yes,random,-3.7666401863098145,-5.203205108642578,Yes,True
can sniff,a gun,'',Can a gun sniff?,No,random,-3.4675776958465576,-4.0443501472473145,Yes,False
can spill oil,an oil tanker,'',Can an oil tanker spill oil?,Yes,random,-2.533355712890625,-6.640705108642578,Yes,True
can spill oil,a microwave,'',Can a microwave spill oil?,No,random,-3.384216070175171,-5.744429588317871,Yes,False
can spin,a canary,'',Can a canary spin?,No,random,-3.670792579650879,-5.967684268951416,Yes,False
can spray liquid,a hose,'',Can a hose spray liquid?,Yes,random,-2.4469127655029297,-5.275850296020508,Yes,True
can sprout,potato,'',Can potato sprout?,Yes,random,-2.506523609161377,-5.379126071929932,Yes,True
can squawk,a parakeet,'',Can a parakeet squawk?,Yes,random,-3.2945852279663086,-6.7779717445373535,Yes,True
can squirt ink,a grater,'',Can a grater squirt ink?,No,random,-5.499244213104248,-4.562296390533447,No,True
can stab,leek,'',Can leek stab?,No,random,-4.466350555419922,-6.466880798339844,Yes,False
can stain,ketchup,'',Can ketchup stain?,Yes,random,-1.9781627655029297,-5.5572662353515625,Yes,True
can stand on one leg,a saw,'',Can a saw stand on one leg?,No,random,-3.6996893882751465,-3.387397289276123,No,True
can stand up vertically,a kangaroo,'',Can a kangaroo stand up vertically?,Yes,random,-3.1484034061431885,-4.463350296020508,Yes,True
can stand up vertically,a lion,'',Can a lion stand up vertically?,No,random,-3.937819480895996,-5.019853591918945,Yes,False
can sting,an ant,'',Can an ant sting?,Yes,random,-2.863952159881592,-2.8568501472473145,No,False
can stop,a car,'',Can a car stop?,No,random,-2.422913074493408,-5.157749652862549,Yes,False
can stop bullets,a mug,'',Can a mug stop bullets?,No,random,-2.3663854598999023,-3.990244150161743,Yes,False
can store beer and ale,a french horn,'',Can a french horn store beer and ale?,No,random,-4.592919826507568,-6.343381404876709,Yes,False
can store chutney,a football,'',Can a football store chutney?,No,random,-3.793330669403076,-4.623297691345215,Yes,False
can store food in its cheeks,a hamster,'',Can a hamster store food in its cheeks?,Yes,random,-2.5456488132476807,-5.998588562011719,Yes,True
can store jam,a jar,'',Can a jar store jam?,Yes,random,-2.307426929473877,-5.556929588317871,Yes,True
can store milk,a bottle,'',Can a bottle store milk?,Yes,random,-2.8435873985290527,-4.604458332061768,Yes,True
can store water,a daisy,'',Can a daisy store water?,No,random,-3.144493818283081,-5.459863185882568,Yes,False
can strut,banana,'',Can banana strut?,No,random,-4.778696060180664,-6.340669631958008,Yes,False
can suck blood,tights,'',Can tights suck blood?,No,random,-3.810314893722534,-5.060900688171387,Yes,False
can support body weight,satsuma,'',Can satsuma support body weight?,No,random,-4.464542388916016,-6.902042388916016,Yes,False
can support spectacles,an ear,'',Can an ear support spectacles?,Yes,random,-1.4912774562835693,-4.879126071929932,Yes,True
can support spectacles,a hose,'',Can a hose support spectacles?,No,random,-3.381875514984131,-6.461377143859863,Yes,False
can support the body,a squirrel,'',Can a squirrel support the body?,No,random,-3.1310195922851562,-5.115832328796387,Yes,False
can survive nuclear attacks,a tugboat,'',Can a tugboat survive nuclear attacks?,No,random,-5.530115604400635,-6.1559038162231445,Yes,False
can take up a lot of space,a buggy,'',Can a buggy take up a lot of space?,No,random,-2.981780767440796,-7.248188018798828,Yes,False
can taste,a heron,'',Can a heron taste?,No,random,-2.583994150161743,-4.336377143859863,Yes,False
can thicken,a helmet,'',Can a helmet thicken?,No,random,-3.2679390907287598,-5.321211814880371,Yes,False
can throw rocks,a catapult,'',Can a catapult throw rocks?,Yes,random,-2.5047476291656494,-5.769123077392578,Yes,True
can trample,an elephant,'',Can an elephant trample?,Yes,random,-3.0544052124023438,-6.36324405670166,Yes,True
can transmit malaria,a chopping board,'',Can a chopping board transmit malaria?,No,random,-5.778850555419922,-4.217809677124023,No,True
can transport goods,a box,'',Can a box transport goods?,Yes,random,-3.0270423889160156,-5.5902605056762695,Yes,True
can transport people,a truck,'',Can a truck transport people?,Yes,random,-2.9449033737182617,-4.992853164672852,Yes,True
can travel across countries,an airplane,'',Can an airplane travel across countries?,Yes,random,-1.8517545461654663,-5.272054195404053,Yes,True
can travel long distances,a canoe,'',Can a canoe travel long distances?,No,random,-1.352338433265686,-5.992393970489502,Yes,False
can trot,a pony,'',Can a pony trot?,Yes,random,-2.435688018798828,-6.623673915863037,Yes,True
can trot,a tongue,'',Can a tongue trot?,No,random,-3.8113276958465576,-5.007275581359863,Yes,False
can turn into a pupa,a table,'',Can a table turn into a pupa?,No,random,-4.482940196990967,-4.990832328796387,Yes,False
can unravel,a yoyo,'',Can a yoyo unravel?,Yes,random,-2.6375925540924072,-5.0902605056762695,Yes,True
can vibrate,a beetle,'',Can a beetle vibrate?,No,random,-3.716632127761841,-7.217615604400635,Yes,False
can waddle,a walrus,'',Can a walrus waddle?,Yes,random,-2.73749041557312,-4.920440196990967,Yes,True
can wade,potato,'',Can potato wade?,No,random,-4.588003158569336,-4.588003158569336,No,True
can wag its tail,a dog,'',Can a dog wag its tail?,Yes,random,-1.9481302499771118,-5.1197662353515625,Yes,True
can wake someone up,a cow,'',Can a cow wake someone up?,No,random,-3.3551011085510254,-7.493690013885498,Yes,False
can wallow,a buffalo,'',Can a buffalo wallow?,Yes,random,-4.429893970489502,-7.178332328796387,Yes,True
can wallow,a nightingale,'',Can a nightingale wallow?,No,random,-5.935688018798828,-6.749088764190674,Yes,False
can water,a housefly,'',Can a housefly water?,No,random,-4.872815132141113,-4.998967170715332,Yes,False
can whip cream,a whisk,'',Can a whisk whip cream?,Yes,random,-1.604682207107544,-4.465856075286865,Yes,True
can whip cream,mushroom,'',Can mushroom whip cream?,No,random,-2.8853089809417725,-4.993690013885498,Yes,False
can wink,an eye,'',Can an eye wink?,Yes,random,-2.8228089809417725,-3.759216070175171,Yes,True
can work in teams,an otter,'',Can an otter work in teams?,Yes,random,-3.1548819541931152,-7.967970371246338,Yes,True
can wriggle,a caterpillar,'',Can a caterpillar wriggle?,Yes,random,-2.448715925216675,-5.620082378387451,Yes,True
cannot fly,a peacock,'',Does a peacock cannot fly?,Yes,random,-2.693216323852539,-6.117393970489502,Yes,True
